feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
dist_prev_val_pct,0.315314,0.42294750000000003,1.341353381074104,NQ plus grand,True
ctx_div_density_20,8.0,6.0,1.3333333333333333,ES plus grand,True
dist_london_low_pct,0.376284,0.5015575,1.3329227392076197,NQ plus grand,True
dist_pvwap_sd1d_pct,0.316342,0.4216355,1.3328470452864305,NQ plus grand,True
bars_since_last_swing_low,165.0,219.0,1.3272727272727274,NQ plus grand,True
dist_asia_low_pct,0.505792,0.66741,1.3195345122105528,NQ plus grand,True
dist_delta_div_sell_nearest_atr,0.025776,0.033879,1.3143621973929236,NQ plus grand,True
dist_composite_poc_5d_atr,0.6960500000000001,0.894,1.284390489188995,NQ plus grand,True
profile_overlap_below_pdl,0.9492,0.7435750000000001,1.2765356554483407,ES plus grand,True
dist_edge_buy_nearest_pct,0.24,0.19,1.263157894736842,ES plus grand,True
dist_asia_open_pct,0.35535,0.283618,1.252917656848296,ES plus grand,True
diag_imbalance,0.2505,0.30735,1.2269461077844313,NQ plus grand,True
dist_mq_put_pct,-0.4,-0.49,1.2249999999999999,NQ plus grand,True
single_print_density,0.3684,0.30605,1.2037248815553014,ES plus grand,True
profile_skew,0.0599,0.0721,1.2036727879799665,NQ plus grand,True
ctx_mq_put_call_ratio,2.046875,2.451777,1.1978147175572518,NQ plus grand,True
ctx_ib_position_velocity,0.0534,0.0447,1.1946308724832215,ES plus grand,True
dist_composite_poc_20d_atr,0.7704500000000001,0.9089,1.1797001752222727,NQ plus grand,True
bars_since_last_swing_high,120.0,140.0,1.1666666666666667,NQ plus grand,True
dist_edge_sell_nearest_pct,0.23,0.2,1.15,ES plus grand,True
dist_cash_high_atr,-0.137026,-0.120082,1.141103579220866,ES plus grand,True
volume_imbalance,1.25,1.4259,1.14072,NQ plus grand,True
position_in_range,0.7292,0.64405,1.1322102321248348,ES plus grand,True
poc_position,0.6063,0.6863,1.131947880587168,NQ plus grand,True
dist_vwap_d_pct,0.08,0.09,1.125,NQ plus grand,True
open_type,8.0,9.0,1.125,NQ plus grand,True
bars_since_retest_high,19.0,17.0,1.1176470588235294,ES plus grand,True
